calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.21214122523976733,0.21214122523976733,0.06655519963287707,-0.04641309226934311,0.0651449062940711,0.07320187175872378,2424282.450479535,60607.06126198837,106655.5199632877,2770169.9669575584,5361714.998662369
2025,46,False,2424282.450479535,60607.06126198837,106655.5199632877,2770169.9669575584,5361714.998662369,171712.2994813958,0.0,0.24888471576396942,42736.56684960479,117165.9396923478,5000,2424282.450479535,60607.06126198837,100000,2781825.486920846,5366714.998662369,0.11003894272714924,0.11003894272714924,0.005249636286021911,0.06630665137152827,0.008827542837139147,0.01649541065234858,2691047.9282022854,67276.19820505714,100524.9636286022,2966279.0196585385,5825128.109694483
2026,47,False,2691047.9282022854,67276.19820505714,100524.9636286022,2966279.0196585385,5825128.109694483,174544.76437540047,0.0,0.24955192339762325,43557.98166886614,118200.22704403567,5000,2691047.9282022854,67276.19820505714,100000,2971803.9832871407,5830128.109694483,0.09562425728031446,0.09562425728031446,0.06424815981798125,-0.03704723289616579,0.06818250561105707,0.07342150164478234,2948377.387642358,73709.43469105895,106424.81598179812,2861706.868996549,5990218.507311764
2027,48,False,2948377.387642358,73709.43469105895,106424.81598179812,2861706.868996549,5990218.507311764,187360.10308007707,0.0,0.2541802515943029,47623.23813962851,126259.41468769383,5000,2948377.387642358,73709.43469105895,100000,2873131.6849783473,5995218.507311764,0.08794556694061531,0.08794556694061531,0.017088087881196087,0.0083492124896564,0.02067152671226584,0.02471371999328855,3207674.108553455,80191.85271383639,101708.80878811961,2897120.071926996,6286694.8419824075
2028,49,False,3207674.108553455,80191.85271383639,101708.80878811961,2897120.071926996,6286694.8419824075,191990.46820551177,0.0,0.25697355549562106,49336.473236039354,128869.38955108555,5000,3207674.108553455,80191.85271383639,100000,2903828.880715116,6291694.8419824075,0.17226047393140753,0.17226047393140753,0.0,0.09582877163406867,-0.01590315441344156,-0.015904110369595367,3760229.5707103787,94005.73926775948,100000.0,3182099.235389578,7136334.545367716
2029,50,False,3760229.5707103787,94005.73926775948,100000.0,3182099.235389578,7136334.545367716,188937.030609261,0.0,0.25514691942588225,48206.70132542657,126819.95974988869,5000,3760229.5707103787,94005.73926775948,100000,3187099.235389578,7141334.545367716,0.13308649215814974,0.13308649215814974,0.0,0.04332958399181372,0.002926922733370578,0.00928191887172783,4260665.333985569,106516.63334963922,100000.0,3325194.9193996363,7792376.886734845
2030,51,False,4260665.333985569,106516.63334963922,100000.0,3325194.9193996363,7792376.886734845,190690.72879924133,0.0,0.25620317234800805,48855.569655719286,127191.15197312577,5000,4260665.333985569,106516.63334963922,100000,3330194.9193996363,7797376.886734845,0.1396873233602934,0.1396873233602934,0.02978457767966586,0.005526030640563208,0.032331759541514196,0.036709016401180586,4855826.270224003,121395.65675560008,102978.4577679666,3348597.6785632866,8428798.063310856
2031,52,False,4855826.270224003,121395.65675560008,102978.4577679666,3348597.6785632866,8428798.063310856,197690.79789028576,0.0,0.2602326247272114,51445.59521940573,131303.46571452907,5000,4855826.270224003,121395.65675560008,100000,3356576.136331253,8433798.063310856,-0.15352617311379851,-0.15352617311379851,0.009861792552296095,0.05810372170710819,0.014079825150235849,0.015967124789160913,4110329.8456510627,102758.24614127657,100986.17925522961,3551605.7020453643,7865679.973092933
2032,53,False,4110329.8456510627,102758.24614127657,100986.17925522961,3551605.7020453643,7865679.973092933,200847.35152986873,0.0,0.2619577488340795,52613.52006605143,133152.19555340963,5000,4110329.8456510627,102758.24614127657,100000,3557591.8813005937,7870679.973092933,0.2624575245389766,0.2624575245389766,0.02296634700193042,0.0394659788488172,0.03253439167388288,0.0362752612567646,5189116.841979315,129727.92104948287,102296.63470019304,3697995.727240727,9119137.124969717
2033,54,False,5189116.841979315,129727.92104948287,102296.63470019304,3697995.727240727,9119137.124969717,208133.14167934394,0.0,0.26573981430870985,55309.262421357256,137484.2212357817,5000,5189116.841979315,129727.92104948287,100000,3705292.36194092,9124137.124969717,-0.1521726641861849,-0.1521726641861849,0.04251490719529327,0.08362310088351682,0.04434150221072246,0.05142032769495283,4399475.10736192,109986.87768404801,104251.49071952933,4015140.39892643,8628853.874691928
